Trip ID,Subscription (Y or N),ADA/Non,Anchor,RequestTime,PCAs,Companions,ServiceAnimal,PickHouseNumber,PickAddress1,Pickcity,pickzip,DropHouseNumber,DropAddress1,Dropcity,DropZip,PickFullAddress,DropFullAddress,PickGeo,DropGeo
1,N,ADA,P,3:00 PM,1,0,N,149,SUTHERLAND RD,BRIGHTON,2135,63,EVERETT ST,ALLSTON,2134,"149 SUTHERLAND RD, BRIGHTON, 2135","63 EVERETT ST, ALLSTON, 2134","42.3409561,-71.1469785","42.3557609,-71.1382691"
2,N,ADA,P,5:30 PM,1,0,N,66,EVERETT ST,ALLSTON,2134,152,SUTHERLAND RD,BRIGHTON,2135,"66 EVERETT ST, ALLSTON, 2134","152 SUTHERLAND RD, BRIGHTON, 2135","42.356506,-71.1381028","42.3411893,-71.1472677"
3,Y,ADA,P,7:30 AM,0,0,N,10,CORINNE RD,BRIGHTON,2135,3,City Sq,CHARLESTOWN,2129,"10 CORINNE RD, BRIGHTON, 2135","3 City Sq, CHARLESTOWN, 2129","42.3557204,-71.1594881","42.3720241,-71.0624843"
4,Y,ADA,P,2:30 PM,0,0,N,7,City Sq,CHARLESTOWN,2129,14,CORINNE RD,BRIGHTON,2135,"7 City Sq, CHARLESTOWN, 2129","14 CORINNE RD, BRIGHTON, 2135","42.3720659,-71.062073","42.35573309999999,-71.1596896"
5,Y,ADA,P,10:20 AM,0,0,N,1927,COMMONWEALTH AVE,BRIGHTON,2135,512,ARSENAL ST,WATERTOWN,2472,"1927 COMMONWEALTH AVE, BRIGHTON, 2135","512 ARSENAL ST, WATERTOWN, 2472","42.3409543,-71.1645147","42.3629628,-71.1586836"
6,Y,ADA,P,2:30 PM,0,0,N,511,ARSENAL ST,WATERTOWN,2472,1926,COMMONWEALTH AVE,BRIGHTON,2135,"511 ARSENAL ST, WATERTOWN, 2472","1926 COMMONWEALTH AVE, BRIGHTON, 2135","42.3623931,-71.1608296","42.3409543,-71.1645147"
7,Y,ADA,A,8:30 AM,0,0,N,33,DEWEY ST,WATERTOWN,2472,1011,HARRISON AVE,ROXBURY,2119,"33 DEWEY ST, WATERTOWN, 2472","1011 HARRISON AVE, ROXBURY, 2119","42.3740084,-71.1574514","42.331654,-71.080659"
8,Y,ADA,P,2:30 PM,0,0,N,1017,HARRISON AVE,ROXBURY,2119,39,DEWEY ST,WATERTOWN,2472,"1017 HARRISON AVE, ROXBURY, 2119","39 DEWEY ST, WATERTOWN, 2472","42.3316097,-71.0807262","42.3739971,-71.1574971"
9,N,ADA,A,2:15 PM,0,0,N,189,FREEMAN ST,BROOKLINE,2446,1184,BEACON ST,BROOKLINE,2446,"189 FREEMAN ST, BROOKLINE, 2446","1184 BEACON ST, BROOKLINE, 2446","42.3474523,-71.11806159999999","42.3443554,-71.11489519999999"
10,N,ADA,P,3:15 PM,0,0,N,1185,BEACON ST,BROOKLINE,2446,190,FREEMAN ST,BROOKLINE,2446,"1185 BEACON ST, BROOKLINE, 2446","190 FREEMAN ST, BROOKLINE, 2446","42.3439519,-71.11426879999999","42.347471,-71.1182192"
11,N,Non-ADA,A,5:00 PM,0,0,N,182,NEWBURY ST,DANVERS,1923,102,INDEPENDENCE WAY,DANVERS,1923,"182 NEWBURY ST, DANVERS, 1923","102 INDEPENDENCE WAY, DANVERS, 1923","42.5715404,-70.97278519999999","42.5505443,-70.93987070000001"
